Elevation,Flow (m3/s)
154,0
154.2,118.6700539
154.4,237.3401078
154.6,407.9283102
154.8,630.4346612
155,852.9410123
155.2,1147.761927
155.4,1442.582842
155.6,1767.998381
155.8,2124.008542
156,2480.018704
156.2,2889.801234
156.4,3299.583764
156.6,3748.506186
156.8,4225.935017
157,4706.838293
157.2,5240.154236
157.4,5777.308881
157.6,6358.123459
157.8,6983.039282
158,7612.382219
158.2,8230.814161
158.4,8853.561139
158.6,9514.262351
158.8,10143.06464
159,10741.86135
159.2,11466.17698
159.4,12187.71526
159.6,12906.47619
159.8,13622.45977
160,14335.66601
160.2,15165.33423
160.4,15991.77599
160.6,16814.99127
160.8,17634.9801
161,18451.74246
161.2,19283.59159
161.4,20111.16894
161.6,20944.47446
161.8,21776.55496
162,22607.41042
162.2,23629.22497
162.4,24658.4661
162.6,25726.73789
162.8,26786.90225
163,27848.70776
163.2,28912.15441
163.4,29977.2422
163.6,31031.76085
163.8,32265.09775
164,33445.22334
164.2,34727.62543
164.4,36019.02478
164.6,37319.4214
164.8,38628.81528
165,39947.20642
165.2,41274.59483
165.4,42610.98049
165.6,43956.36343
165.8,45310.74362
166,46602.08314
166.2,48097.49135
166.4,49599.10475
166.6,51106.92333
166.8,52620.9471
167,54141.17605
167.2,55667.61019
167.4,57200.24951
167.6,58739.09402
167.8,60284.14371
168,61835.39859
168.2,63418.25643
168.4,64825.83264
168.6,66231.61908
168.8,67635.61573
169,69037.82262
169.2,70438.23973
169.4,72026.13785
169.6,73613.02284
169.8,75196.87104
170,76779.70486
170.2,78145.46132
170.4,79509.4594
170.6,80871.6991
170.8,82232.18043
171,83590.90339
171.2,85048.5171
171.4,86504.24683
171.6,87958.0926
171.8,89438
172,90945.38202
172.2,92452.76404
172.4,93960.14607
172.6,95467.52809
172.8,96974.91011
173,98482.29213
173.2,100190.6584
173.4,101899.0247
173.6,103607.391
173.8,105315.7573
174,107024.1236
174.2,108732.4899
174.4,110440.8562
174.6,112149.2225
174.8,113857.5888
175,115565.9551
175.2,117274.3213
175.4,118982.6876
175.6,120691.0539
175.8,122399.4202
176,124107.7865
176.2,125816.1528
176.4,127524.5191
176.6,129232.8854
176.8,130941.2517
177,132649.618
