Time,DCF,SD,PMF
0,1757.1,0,2163.59
3,1757.1,0,2163.59
6,1757.1,0,2163.59
9,1757.1,0,2163.59
12,1757.1,0,2163.59
15,1757.1,0,2163.59
18,1757.1,0,2163.59
21,1757.1,0,2163.59
24,1757.1,0,2163.59
27,1757.1,0,2163.59
30,1757.1,0,2163.59
33,1757.1,0,2163.59
36,1757.1,0,2163.59
39,1757.1,0,2163.59
42,1757.1,0,2163.59
45,1757.1,0,2163.59
48,1757.1,0,2163.59
51,1757.1,0,2163.59
54,1757.1,0,2163.59
57,1757.1,0,2163.59
60,1757.1,0,2167.66
63,1757.1,0,2249.2
66,1757.1,0,6324.71
69,1757.1,0,9747.61
72,1757.1,0,11893.28
75,1757.1,0,20266.89
78,1757.2,0,25623.97
81,1757.6,0,31115.8
84,6340.1,0,37868.39
87,4763.9,0,46856
90,3458.5,0,60297.76
93,4160.5,0,76530.64
96,4943.8,0,92056.91
99,5974.1,0,106468.23
102,8027.7,0,122290.76
105,33138.4,0,131383.88
108,31476.5,0,139853
111,26713.5,0,145324.91
114,28225.2,0,178116.83
117,40072.6,0,174711.44
120,51533,0,195290.83
123,68382,0,207168.36
126,84265,0,213631.05
129,92137.2,0,207433.36
132,95991.3,0,177553.5
135,103941.8,0,154613
138,116917.3,0,135820.56
141,127640.3,0,122442.25
144,147457.3,0,110397.11
147,135901.9,0,101128.39
150,123754.1,0,92716.8
153,119067.9,0,84801.13
156,107519.7,0,77965.74
159,102305.4,0,72146.52
162,97927.8,0,67254.77
165,92595.4,0,63259.77
168,89540.3,0,59980.7
171,82470.8,0,57291.09
174,76579.6,0,55061.93
177,72079.2,0,53164.83
180,68403.3,0,51481.59
183,65358.9,0,49915.62
186,62857.2,0,48398.23
189,60761.2,0,46888.83
192,58925.9,0,45370.33
195,57222,0,43842.79
198,55563.8,0,42316.82
201,53906.6,0,40808.2
204,52235.8,0,39334
207,50556.5,0,37910.11
210,48882.1,0,36549.92
213,47226.6,0,35263.66
216,45600.4,0,34058.38
219,44009.8,0,32938.05
222,42457.7,0,31903.94
225,40945.3,0,30954.9
228,39472.5,0,30087.86
231,38038.7,0,29298.06
234,36643.1,0,28579.1
237,35285.1,0,27923.21
240,33964.4,0,27321.86
243,32680.7,0,26766.21
246,31433.9,0,26247.51
249,30224.2,0,25757.41
252,29051.5,0,25288.24
255,27916.2,0,24833.21
258,26818.1,0,24386.58
261,25757.5,0,23943.77
264,24734.3,0,23501.26
267,23748.3,0,23056.6
270,22799.4,0,22608.26
273,21887.1,0,22155.55
276,21011,0,21698.52
279,20170.5,0,21237.74
282,19364.7,0,20774.23
285,18592.8,0,20309.26
288,17854,0,19844.24
291,17147.3,0,19380.65
294,16471.7,0,18919.9
297,15826.4,0,18463.37
300,15210.2,0,18012.27
303,15210.2,0,18012.27
306,15210.2,0,18012.27
309,15210.2,0,18012.27
312,15210.2,0,18012.27
315,15210.2,0,18012.27
318,15210.2,0,18012.27
321,15210.2,0,18012.27
324,15210.2,0,18012.27
327,15210.2,0,18012.27
330,15210.2,0,18012.27
333,15210.2,0,18012.27
336,15210.2,0,18012.27
339,15210.2,0,18012.27
342,15210.2,0,18012.27
345,15210.2,0,18012.27
348,15210.2,0,18012.27
351,15210.2,0,18012.27
354,15210.2,0,18012.27
357,15210.2,0,18012.27
360,15210.2,0,18012.27
363,15210.2,0,18012.27
366,15210.2,0,18012.27
369,15210.2,0,18012.27
372,15210.2,0,18012.27
375,15210.2,0,18012.27
378,15210.2,0,18012.27
381,15210.2,0,18012.27
384,15210.2,0,18012.27
387,15210.2,0,18012.27
390,15210.2,0,18012.27
393,15210.2,0,18012.27
396,15210.2,0,18012.27
399,15210.2,0,18012.27
402,15210.2,0,18012.27
405,15210.2,0,18012.27
408,15210.2,0,18012.27
411,15210.2,0,18012.27
414,15210.2,0,18012.27
417,15210.2,0,18012.27
420,15210.2,0,18012.27
423,15210.2,0,18012.27
426,15210.2,0,18012.27
429,15210.2,0,18012.27
432,15210.2,0,18012.27
435,15210.2,0,18012.27
438,15210.2,0,18012.27
441,15210.2,0,18012.27
444,15210.2,0,18012.27
447,15210.2,0,18012.27
450,15210.2,0,18012.27
453,15210.2,0,18012.27
456,15210.2,0,18012.27
459,15210.2,0,18012.27
462,15210.2,0,18012.27
465,15210.2,0,18012.27
